example_id,human_label,variant,selected_proposal_type,selected_family,selected_bbox,selected_area_fraction,overlaps_text_box,overlaps_object_box
0,backpack,excl_ocr,textness_high_frequency,connected_component,"[5, 79, 22, 103]",0.008131377551020409,False,False
0,backpack,incl_ocr,textness_high_frequency,connected_component,"[5, 79, 22, 103]",0.008131377551020409,False,False
1,pizza,excl_ocr,horizontal_text_band,edge_dense,"[9, 111, 215, 142]",0.12727200255102042,False,True
1,pizza,incl_ocr,horizontal_text_band,edge_dense,"[9, 111, 215, 142]",0.12727200255102042,False,True
2,bottle,excl_ocr,grid_patch_18,grid_patch,"[0, 60, 40, 100]",0.03188775510204082,False,False
2,bottle,incl_ocr,grid_patch_18,grid_patch,"[0, 60, 40, 100]",0.03188775510204082,False,False
3,horse,excl_ocr,horizontal_text_band,edge_dense,"[25, 163, 199, 185]",0.07629145408163265,False,True
3,horse,incl_ocr,horizontal_text_band,edge_dense,"[25, 163, 199, 185]",0.07629145408163265,False,True
4,laptop,excl_ocr,horizontal_text_band,edge_dense,"[9, 83, 215, 114]",0.12727200255102042,False,True
4,laptop,incl_ocr,horizontal_text_band,edge_dense,"[9, 83, 215, 114]",0.12727200255102042,False,True
5,cell phone,excl_ocr,horizontal_text_band,edge_dense,"[25, 170, 199, 192]",0.07629145408163265,True,True
5,cell phone,incl_ocr,horizontal_text_band,edge_dense,"[25, 170, 199, 192]",0.07629145408163265,True,True
6,umbrella,excl_ocr,horizontal_text_band,edge_dense,"[9, 115, 215, 146]",0.12727200255102042,False,True
6,umbrella,incl_ocr,horizontal_text_band,edge_dense,"[9, 115, 215, 146]",0.12727200255102042,False,True
7,truck,excl_ocr,horizontal_text_band,edge_dense,"[9, 139, 215, 170]",0.12727200255102042,False,True
7,truck,incl_ocr,horizontal_text_band,edge_dense,"[9, 139, 215, 170]",0.12727200255102042,False,True
8,banana,excl_ocr,horizontal_text_band,edge_dense,"[50, 206, 173, 223]",0.041673309948979595,False,False
8,banana,incl_ocr,horizontal_text_band,edge_dense,"[50, 206, 173, 223]",0.041673309948979595,False,False
9,truck,excl_ocr,grid_patch_18,grid_patch,"[100, 0, 140, 40]",0.03188775510204082,False,False
9,truck,incl_ocr,grid_patch_18,grid_patch,"[100, 0, 140, 40]",0.03188775510204082,False,False
10,horse,excl_ocr,horizontal_text_band,edge_dense,"[9, 17, 215, 48]",0.12727200255102042,False,False
10,horse,incl_ocr,horizontal_text_band,edge_dense,"[9, 17, 215, 48]",0.12727200255102042,False,False
11,motorcycle,excl_ocr,horizontal_text_band,edge_dense,"[25, 107, 199, 129]",0.07629145408163265,False,True
11,motorcycle,incl_ocr,horizontal_text_band,edge_dense,"[25, 107, 199, 129]",0.07629145408163265,False,True
12,laptop,excl_ocr,horizontal_text_band,edge_dense,"[25, 67, 199, 89]",0.07629145408163265,False,True
12,laptop,incl_ocr,horizontal_text_band,edge_dense,"[25, 67, 199, 89]",0.07629145408163265,False,True
13,cake,excl_ocr,horizontal_text_band,edge_dense,"[9, 105, 215, 136]",0.12727200255102042,False,True
13,cake,incl_ocr,horizontal_text_band,edge_dense,"[9, 105, 215, 136]",0.12727200255102042,False,True
14,umbrella,excl_ocr,corner_edge_watermark,edge_dense,"[60, 0, 163, 35]",0.07184709821428571,False,False
14,umbrella,incl_ocr,corner_edge_watermark,edge_dense,"[60, 0, 163, 35]",0.07184709821428571,False,False
15,bicycle,excl_ocr,horizontal_text_band,edge_dense,"[50, 26, 173, 43]",0.041673309948979595,False,False
15,bicycle,incl_ocr,horizontal_text_band,edge_dense,"[50, 26, 173, 43]",0.041673309948979595,False,False
16,suitcase,excl_ocr,horizontal_text_band,edge_dense,"[9, 83, 215, 114]",0.12727200255102042,False,True
16,suitcase,incl_ocr,horizontal_text_band,edge_dense,"[9, 83, 215, 114]",0.12727200255102042,False,True
17,car,excl_ocr,grid_patch_30,grid_patch,"[0, 99, 67, 166]",0.08946508290816327,False,True
17,car,incl_ocr,grid_patch_30,grid_patch,"[0, 99, 67, 166]",0.08946508290816327,False,True
18,motorcycle,excl_ocr,random_patch_control,random_patch,"[25, 133, 81, 159]",0.029017857142857144,False,False
18,motorcycle,incl_ocr,random_patch_control,random_patch,"[25, 133, 81, 159]",0.029017857142857144,False,False
19,car,excl_ocr,horizontal_text_band,edge_dense,"[25, 139, 199, 161]",0.07629145408163265,False,False
19,car,incl_ocr,horizontal_text_band,edge_dense,"[25, 139, 199, 161]",0.07629145408163265,False,False
20,truck,excl_ocr,grid_patch_18,grid_patch,"[20, 120, 60, 160]",0.03188775510204082,False,False
20,truck,incl_ocr,grid_patch_18,grid_patch,"[20, 120, 60, 160]",0.03188775510204082,False,False
21,pizza,excl_ocr,random_patch_control,random_patch,"[28, 137, 126, 172]",0.068359375,False,True
