example_id,image_path,human_label,target_label,allowed_clip_labels,original_prediction_label,original_confidence,original_is_target,original_correct,high_confidence_failure,target_prob_orig,target_rank_orig,distractor_label,distractor_present,distractor_prob_orig,distractor_rank_orig,best_operator,post_prediction_label,post_is_target,target_prob_post,target_rank_post,distractor_prob_post,pairwise_margin_orig,pairwise_margin_post,margin_improved,oracle_improves_target_prob,oracle_improves_target_rank,oracle_decreases_distractor,oracle_recovers_top1,oracle_recovers_top3,oracle_recovers_top5,oracle_top5_or_pairwise,strong_pairwise_improvement,text_object_iou,n_text_boxes,n_object_boxes,n_dominant_objects,target_area_frac,max_text_area_frac,passes_ambiguity,is_directional_failure,is_strict_oracle_repairable,in_clean_subset
0,,backpack,backpack,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,suitcase,0.4972953796386719,False,False,False,0.05204456299543381,3,suitcase,False,0.4972953796386719,1,expanded_blur_1.25,suitcase,False,0.059556279331445694,3,0.7263845205307007,-0.44525081664323807,-0.666828241199255,False,False,False,False,False,True,True,True,False,0.0,2,3,1,0.12683354591836735,0.0033482142857142855,True,False,False,True
4,,laptop,laptop,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,laptop,0.9649723768234253,True,True,False,0.9649723768234253,1,cell phone,False,0.031137242913246155,2,expanded_gray_fill_1.25,laptop,True,0.9638340473175049,1,0.03509131819009781,0.9338351339101791,0.9287427291274071,False,False,False,False,True,True,True,True,False,0.0018353434714210803,3,1,1,0.4510522959183674,0.005859375,True,False,False,True
6,,umbrella,umbrella,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,umbrella,0.9980902075767517,True,True,False,0.9980902075767517,1,hot dog,False,0.00042347708949819207,2,gray_fill,umbrella,True,0.998656153678894,1,0.0001481866929680109,0.9976667304872535,0.998507966985926,True,False,False,False,True,True,True,True,False,0.1551440329218107,1,3,1,0.2780612244897959,0.015027104591836735,True,False,False,True
9,,truck,truck,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,truck,0.9975364208221436,True,True,False,0.9975364208221436,1,bus,False,0.0022117607295513153,2,expanded_gray_fill_1.25,truck,True,0.9980278611183167,1,0.001890157232992351,0.9953246600925922,0.9961377038853243,True,False,False,False,True,True,True,True,False,0.0,1,1,1,0.721061862244898,0.020448022959183673,True,False,False,True
10,,horse,horse,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,horse,0.7910194396972656,True,True,False,0.7910194396972656,1,truck,False,0.184156134724617,2,gaussian_blur,horse,True,0.8505160212516785,1,0.12782151997089386,0.6068633049726486,0.7226945012807846,True,True,False,True,True,True,True,True,False,0.0,1,1,1,0.2612404336734694,0.007892219387755101,True,False,False,True
11,,motorcycle,motorcycle,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,motorcycle,0.9846227765083313,True,True,False,0.9846227765083313,1,bicycle,False,0.010892389342188835,2,expanded_gray_fill_1.25,motorcycle,True,0.9777711033821106,1,0.01562698744237423,0.9737303871661425,0.9621441159397364,False,False,False,False,True,True,True,True,False,0.0,2,1,1,0.12420280612244898,0.010881696428571428,True,False,False,True
13,,cake,cake,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,cake,0.9999034404754639,True,True,False,0.9999034404754639,1,hot dog,False,3.929773811250925e-05,2,gaussian_blur,cake,True,0.9999028444290161,1,4.18014133174438e-05,0.9998641427373514,0.9998610430156987,False,False,False,False,True,True,True,True,False,0.0,1,1,1,0.15499441964285715,0.004384566326530612,True,False,False,True
16,,suitcase,suitcase,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,suitcase,0.9997525811195374,True,True,False,0.9997525811195374,1,backpack,False,0.00021746574202552438,2,expanded_gray_fill_1.25,suitcase,True,0.9996477365493774,1,0.00022144294052850455,0.9995351153775118,0.9994262936088489,False,False,False,False,True,True,True,True,False,0.0,5,1,1,0.31473214285714285,0.009207589285714286,True,False,False,True
18,,motorcycle,motorcycle,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,motorcycle,0.9854391813278198,True,True,False,0.9854391813278198,1,vase,False,0.008990212343633175,2,gray_fill,motorcycle,True,0.988754391670227,1,0.007723866496235132,0.9764489689841866,0.9810305251739919,True,False,False,False,True,True,True,True,False,0.0,1,1,1,0.31285873724489793,0.030133928571428572,True,False,False,True
21,,pizza,pizza,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,pizza,0.9997418522834778,True,True,False,0.9997418522834778,1,cake,False,8.981973223853856e-05,2,expanded_blur_1.25,pizza,True,0.9997497200965881,1,8.981941209640354e-05,0.9996520325512392,0.9996599006844917,True,False,False,False,True,True,True,True,False,0.0,1,1,1,0.10706313775510204,0.007174744897959184,True,False,False,True
