example_id,image_path,human_label,target_label,allowed_clip_labels,original_prediction_label,original_confidence,original_is_target,original_correct,high_confidence_failure,target_prob_orig,target_rank_orig,distractor_label,distractor_present,distractor_prob_orig,distractor_rank_orig,best_operator,post_prediction_label,post_is_target,target_prob_post,target_rank_post,distractor_prob_post,pairwise_margin_orig,pairwise_margin_post,margin_improved,oracle_improves_target_prob,oracle_improves_target_rank,oracle_decreases_distractor,oracle_recovers_top1,oracle_recovers_top3,oracle_recovers_top5,oracle_top5_or_pairwise,strong_pairwise_improvement,text_object_iou,n_text_boxes,n_object_boxes,n_dominant_objects,target_area_frac,max_text_area_frac,passes_ambiguity,is_directional_failure,is_strict_oracle_repairable,in_clean_subset
0,,backpack,backpack,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,suitcase,0.4972953796386719,False,False,False,0.05204456299543381,3,suitcase,False,0.4972953796386719,1,expanded_blur_1.25,suitcase,False,0.059556279331445694,3,0.7263845205307007,-0.44525081664323807,-0.666828241199255,False,False,False,False,False,True,True,True,False,0.0,2,3,1,0.12683354591836735,0.0033482142857142855,True,False,False,True
1,,pizza,pizza,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,pizza,0.9998459815979004,True,True,False,0.9998459815979004,1,donut,False,6.188487895997241e-05,2,expanded_gray_fill_1.25,pizza,True,0.9998370409011841,1,5.9702189901145175e-05,0.9997840967189404,0.9997773387112829,False,False,False,False,True,True,True,True,False,0.005321552286761384,1,2,2,0.7876275510204082,0.01056281887755102,True,False,False,False
2,,bottle,bottle,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,hot dog,0.9678996205329895,False,False,True,4.825031737709651e-06,9,hot dog,False,0.9678996205329895,1,expanded_gray_fill_1.25,hot dog,False,5.2074883569730446e-06,11,0.9457377791404724,-0.9678947955012518,-0.9457325716521154,True,False,False,True,False,False,False,False,False,0.0,1,2,0,0.05624202806122449,0.0064572704081632655,True,False,False,False
3,,horse,horse,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,horse,0.7461580038070679,True,True,False,0.7461580038070679,1,bicycle,False,0.09853358566761017,2,expanded_gray_fill_1.25,horse,True,0.8790003657341003,1,0.03800014778971672,0.6476244181394577,0.8410002179443836,True,True,False,True,True,True,True,True,True,0.0,4,1,0,0.08161272321428571,0.015625,True,False,False,False
4,,laptop,laptop,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,laptop,0.9649723768234253,True,True,False,0.9649723768234253,1,cell phone,False,0.031137242913246155,2,expanded_gray_fill_1.25,laptop,True,0.9638340473175049,1,0.03509131819009781,0.9338351339101791,0.9287427291274071,False,False,False,False,True,True,True,True,False,0.0018353434714210803,3,1,1,0.4510522959183674,0.005859375,True,False,False,True
5,,cell phone,cell phone,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,cell phone,0.9477528929710388,True,True,False,0.9477528929710388,1,truck,False,0.009867813438177109,2,expanded_gray_fill_1.25,cell phone,True,0.9539384245872498,1,0.007219455670565367,0.9378850795328617,0.9467189689166844,True,False,False,False,True,True,True,True,False,0.0,4,1,0,0.05787627551020408,0.03067203443877551,True,False,False,False
6,,umbrella,umbrella,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,umbrella,0.9980902075767517,True,True,False,0.9980902075767517,1,hot dog,False,0.00042347708949819207,2,gray_fill,umbrella,True,0.998656153678894,1,0.0001481866929680109,0.9976667304872535,0.998507966985926,True,False,False,False,True,True,True,True,False,0.1551440329218107,1,3,1,0.2780612244897959,0.015027104591836735,True,False,False,True
7,,truck,truck,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,bus,0.6348317265510559,False,False,False,0.3572137653827667,2,bus,False,0.6348317265510559,1,expanded_gray_fill_1.25,truck,True,0.7067199945449829,1,0.2829945683479309,-0.2776179611682892,0.423725426197052,True,True,True,True,True,True,True,True,True,0.0,9,1,1,0.17263233418367346,0.020208864795918366,True,True,True,False
8,,banana,banana,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,banana,0.996024489402771,True,True,False,0.996024489402771,1,donut,False,0.001497482182458043,2,expanded_gray_fill_1.25,banana,True,0.9998617172241211,1,7.069446610330488e-07,0.994527007220313,0.9998610102794601,True,False,False,False,True,True,True,True,False,0.49311475409836064,17,6,1,0.10475127551020408,0.029974489795918366,False,False,False,False
9,,truck,truck,airplane|apple|backpack|banana|bear|bicycle|bird|boat|bottle|broccoli|bus|cake|car|carrot|cat|cell phone|clock|cow|cup|dog|donut|elephant|giraffe|horse|hot dog|laptop|motorcycle|orange|pizza|sandwich|sheep|suitcase|teddy bear|train|truck|umbrella|vase|zebra,truck,0.9975364208221436,True,True,False,0.9975364208221436,1,bus,False,0.0022117607295513153,2,expanded_gray_fill_1.25,truck,True,0.9980278611183167,1,0.001890157232992351,0.9953246600925922,0.9961377038853243,True,False,False,False,True,True,True,True,False,0.0,1,1,1,0.721061862244898,0.020448022959183673,True,False,False,True
